CRSE,CRSE_TITLE,COUNT
165,CALCULUS I,2756
166,CALCULUS II,2325
265,CALCULUS III,1682
143,PREP FOR CALCULUS,1507
140,COLLEGE ALGEBRA,1373
104,INTRO TO PROBABILTY,1252
150,DISC MATH BUS&SOC S,1110
207,MATRCES&LINEAR ALGB,949
201,INTRO TO PROOFS,758
317,THRY LINEAR ALGEBRA,738
267,DIFF EQ & TRANSFMS,677
105,INTRO TO MATH IDEAS,544
301,ABSTRACT ALGEBRA I,507
414,ANALYSIS I,503
266,ELEM DIFF EQUATNS,425
160,SURVEY OF CALCULUS,370
101,ORIENTATION IN MATH,336
492,UNDERGRAD SEMINAR,333
341,INTR THY PROBAB&S I,304
25,HIGH SCHOOL ALGEBRA,284
385,INTR PART DIFF EQUA,239
435,GEOMETRY I,222
397,UNIV MATH TCH SECDY,214
436,GEOMETRY II,203
495,SPECIAL TOPICS,193
314,GRAPH THEORY,183
500,GRADUATE MATH,182
304,COMBINATORICS,142
373,INTR SCIENTF CMPTNG,135
350,NUMBER THEORY,128
151,BUS & SOC SCI CALC,115
365,COMPLEX VARIABLES,109
415,ANALYSIS II,107
302,ABSTRCT ALGEBRA II,89
142,TRIG&ANALY GEOMETRY,87
181,LIFE SCI CALC&MDL I,82
342,INTR THY PR&STAT II,73
106,DISCOVERING MATH,65
240,INVESTM&CREDIT MATH,60
