STUDENT,CRSE,GRADE_CATGORY,CRSE_SEM,GRAD_SEM
0,265,-1,3.0,8.0
3,166,1,1.0,0.0
4,165,1,1.0,8.0
4,166,1,2.0,8.0
4,207,1,4.0,8.0
5,140,1,2.0,0.0
7,104,1,4.0,7.0
9,165,1,1.0,8.0
9,265,1,3.0,8.0
9,166,1,2.0,8.0
9,385,1,5.0,8.0
9,267,1,4.0,8.0
9,317,1,7.0,8.0
9,201,1,6.0,8.0
10,166,1,1.0,0.0
11,207,1,1.0,6.0
12,150,1,4.0,0.0
13,265,-1,1.0,9.0
17,143,1,1.0,10.0
17,166,1,3.0,10.0
17,165,1,2.0,10.0
17,207,1,4.0,10.0
18,150,1,4.0,4.0
20,143,-1,1.0,0.0
21,150,1,5.0,0.0
22,104,1,1.0,8.0
23,143,-1,1.0,9.0
24,165,-1,1.0,0.0
25,105,-1,3.0,5.0
26,265,1,2.0,8.0
26,267,1,3.0,8.0
27,265,1,1.0,8.0
27,317,1,6.0,8.0
28,165,1,1.0,7.0
28,166,1,2.0,7.0
28,207,1,5.0,7.0
29,150,1,3.0,9.0
29,150,1,3.0,9.0
30,165,1,1.0,0.0
30,166,1,2.0,0.0
31,105,1,1.0,8.0
33,101,1,3.0,12.0
33,101,1,3.0,12.0
33,201,1,3.0,12.0
33,201,1,3.0,12.0
33,265,-1,3.0,12.0
33,265,-1,3.0,12.0
35,150,-1,1.0,0.0
37,150,-1,4.0,0.0
39,150,1,2.0,8.0
39,140,1,3.0,8.0
40,266,1,1.0,0.0
41,267,-1,3.0,8.0
42,165,-1,1.0,10.0
42,166,-1,2.0,10.0
43,165,1,1.0,8.0
44,150,1,3.0,8.0
44,140,1,2.0,8.0
45,165,-1,5.0,10.0
45,166,1,7.0,10.0
46,166,1,1.0,0.0
47,105,1,2.0,8.0
49,166,1,2.0,7.0
49,165,1,1.0,7.0
49,207,1,3.0,7.0
51,373,1,7.0,8.0
51,341,1,6.0,8.0
54,207,-1,5.0,0.0
55,166,1,2.0,9.0
55,165,1,1.0,9.0
56,165,1,2.0,8.0
56,143,1,1.0,8.0
58,165,1,6.0,0.0
60,265,1,3.0,8.0
61,165,1,1.0,8.0
62,105,-1,2.0,0.0
63,166,1,3.0,6.0
63,266,1,5.0,6.0
64,150,1,2.0,0.0
67,166,1,1.0,10.0
