CRSE,CRSE_TITLE,COUNT
165,CALCULUS I,2750
166,CALCULUS II,2270
265,CALCULUS III,1593
143,PREP FOR CALCULUS,1541
140,COLLEGE ALGEBRA,1292
104,INTRO TO PROBABILTY,1160
150,DISC MATH BUS&SOC S,1066
207,MATRCES&LINEAR ALGB,869
201,INTRO TO PROOFS,673
317,THRY LINEAR ALGEBRA,625
267,DIFF EQ & TRANSFMS,613
105,INTRO TO MATH IDEAS,568
301,ABSTRACT ALGEBRA I,402
266,ELEM DIFF EQUATNS,377
414,ANALYSIS I,363
160,SURVEY OF CALCULUS,338
101,ORIENTATION IN MATH,311
25,HIGH SCHOOL ALGEBRA,285
492,UNDERGRAD SEMINAR,239
341,INTR THY PROBAB&S I,233
385,INTR PART DIFF EQUA,202
435,GEOMETRY I,167
397,TEACH SEC SCHL MATH,159
436,GEOMETRY II,157
495,INDEPENDENT STUDY,157
314,GRAPH THEORY,150
500,GRADUATE MATH,135
304,COMBINATORICS,107
