STUDENT,ENT_SEM,GRAD_SEM,101,104,105,140,143,150,160,165,166,201,207,25,265,266,267,301,304,314,317,341,385,397,414,435,436,492,495,500,Y,SEM0.5_cdf,SEM1.0_cdf,SEM1.5_cdf,SEM2.0_cdf,SEM2.5_cdf,SEM3.0_cdf,SEM3.5_cdf,SEM4.0_cdf,SEM4.5_cdf,SEM5.0_cdf,SEM5.5_cdf,SEM6.0_cdf,SEM6.5_cdf,SEM7.0_cdf,SEM7.5_cdf,SEM8.0_cdf,SEM8.5_cdf,SEM9.0_cdf,SEM9.5_cdf,SEM0.5_GEN_cdf,SEM1.0_GEN_cdf,SEM1.5_GEN_cdf,SEM2.0_GEN_cdf,SEM2.5_GEN_cdf,SEM3.0_GEN_cdf,SEM3.5_GEN_cdf,SEM4.0_GEN_cdf,SEM4.5_GEN_cdf,SEM5.0_GEN_cdf,SEM5.5_GEN_cdf,SEM6.0_GEN_cdf,SEM6.5_GEN_cdf,SEM7.0_GEN_cdf,SEM7.5_GEN_cdf,SEM8.0_GEN_cdf,SEM8.5_GEN_cdf,SEM9.0_GEN_cdf,SEM9.5_GEN_cdf,slp,int,slp_math,int_math,slp_gen,int_gen
0,20.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.13684210526315793,5.4448686184506295e-17,0.0,0.0,-0.13684210526315793,5.4448686184506295e-17
3,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.3638629780100836e-17,1.0,0.0,0.0,-2.3638629780100836e-17,1.0
4,19.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0.2701754385964913,1.0175438596491229,0.0,0.0,0.2701754385964913,1.0175438596491229
5,20.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08421052631578949,0.42105263157894735,0.0,0.0,0.08421052631578949,0.42105263157894735
7,19.6,8.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.15438596491228074,-0.19298245614035092,0.0,0.0,0.15438596491228074,-0.19298245614035092
9,16.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,3.5,0.0,4.5,0.0,0.0,0.0,8.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,0,1,1,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,0.7824561403508773,0.035087719298245286,0.23859649122807022,-0.6140350877192982,0.5438596491228073,0.6491228070175439
10,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.3638629780100836e-17,1.0,0.0,0.0,-2.3638629780100836e-17,1.0
11,18.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.031578947368421074,0.789473684210526,0.0,0.0,0.031578947368421074,0.789473684210526
12,15.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0.20701754385964918,0.4912280701754386,0.0,0.0,0.20701754385964918,0.4912280701754386
13,19.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.031578947368421074,-0.789473684210526,0.0,0.0,-0.031578947368421074,-0.789473684210526
